行番号,会社名,問い合わせフォームURL,備考
888,青山貿易〜マワハンガー正規販売店(青山貿易株式会社),,独立フォームURL確認できず。メール info@aoyama-trading.co.jp / TEL 03-3256-9326。公式 aoyama-trading.co.jp
169,アストロ Official Shop(株式会社アストロ),https://www.astro-co.jp/contact.html,TEL 06-6398-7108
344,火消魂(HiKESHi SPiRiT),https://hikeshispirit.com/,自社EC hikeshispirit.com にフォームあり(URL未確認)
185,インテリアショップroomy garden(株式会社D-REALIZE),https://roomy-official.shop/pages/contact,roomyと同一運営。メール roomy-spfy@d-realize.net
885,精製水オンライン(サンエイ化学),https://www.seiseisui.com/contact/,精製水.com公式フォーム
903,日本製圧縮袋直販アクアトーク(石崎資材),,独立フォームURL確認できず。TEL 072-977-1079。自社 aquatalk.mysmartstore.jp
322,ラディアンヌ 楽天市場店(ラディアンヌ株式会社),https://radianne.jp/,公式ストアからお問い合わせ(LINE対応)。radianne.co.jp
918,眠りを仕立てる専門店SleepTailor,https://www.sleeptailor.net/,公式サイトにフォームあり(URL未確認)
197,エンブリス楽天市場店(株式会社エン・ブリス),,独立フォームURL確認できず(enbliss.co.jp)。TEL 070-9157-3161
261,テクニカという名の印刷屋(株式会社プリントテクニカ),https://www.printac.co.jp/contact,TEL 0736-33-7115
302,ボックスバンク(ボックスバンク株式会社),https://www.boxbank.jp/contact/,メール desk@boxbank.jp / TEL 0120-8585-45
254,ダンボールのロジマート(株式会社大豊物流システム),,フォームは要会員。メール inquiry@logi-mart.jp / TEL 072-679-1711
253,ダンボールのイクソブショップ(イクソブ株式会社),https://www.xob.co.jp/contact/,TEL 03-3668-5131
255,ダンボール家具とゴミ箱の工房KDK(加藤段ボール株式会社),,独立フォームURL確認できず。メール rakuten@kato-dan.co.jp / TEL 04-7199-7230。公式 kato-dan.co.jp
867,梱包サポート 楽天市場店(大網梱包株式会社),,独立フォームURL確認できず。TEL 042-556-0083。自社EC shop.konpousupport.com
868,梱包資材のK-MART(株式会社K・K MART/軽部商店),,独立フォームURL確認できず。メール info@maru-kmart.com / TEL 0570-02-3131
873,資材PLAZA(株式会社フジテックス),https://www.fujitex.net/contact,会員制事業は member.fjtex.co.jp/contact/
841,業務用容器カイコム(水野産業株式会社),https://www.mizunoes.com/f/inquiry,メール kaicom-pack@shop.rakuten.co.jp / TEL 0120-32-0591
207,カウ web shop(カウパック株式会社),https://www.cowpack.com/contact.html,TEL 0587-66-6314
341,衛生資材navi 楽天市場店,https://www.eiseishizainavi.com/contact,TEL 04-7145-3101
298,ペーパーミツヤマ 楽天市場店(株式会社美津山),https://www.paper-m.co.jp/login/inquiryedit,メール shop@paper-m.co.jp / TEL 0572-22-0117
242,スリーアールプラザ(スリーアール株式会社),https://3rrr.net/pages/contact,法人窓口 3rrr-hd.jp/contact/
915,防災用品・災害対策 ピースアップ(株式会社ピースアップ),,独立フォームURL確認できず。メール info@peaceup.co.jp / TEL 06-6624-3611。公式 peaceup.co.jp
215,くらしのもり(株式会社ヤマユウ),,独立フォームURL確認できず(楽天メッセージ経由)
244,スリッパのChausse<ショセ>(株式会社イトースリッパ),http://www.ito-chausse.com/contact.html,TEL 03-5248-1502
245,スリッパ専門店Tomy's(株式会社トミー工芸),,独立フォームURL確認できず。メール admin@tomy-kougei.com / TEL 03-3469-4551。自社EC tomy-kougei.shop
266,トータルフットウェア HIGH&LOW,,独立フォームURL確認できず(楽天メッセージ経由)
897,東京ハンガー Travel&Life(雷門商店株式会社),https://www.tokyo-hanger.com/contact,TEL 029-886-8248
243,スリッパ Online Shop,,独立フォームURL確認できず(楽天メッセージ経由)
312,メイリィ(インテリアスリッパ),,独立フォームURL確認できず(楽天メッセージ経由)
167,アクティブ ガジェット ジーテック(株式会社ジーテック),,独立フォームURL確認できず。TEL 042-516-9513。※スリッパ製造は株式会社MOGAMI関連
151,tukn.(トゥクン)レディース靴,,独立フォームURL確認できず(楽天メッセージ経由。神戸の靴メーカー)
817,株式会社徳岡,https://tokuoka.jp/contact/,メール g_tokuoka-oroshi@tokuoka.co.jp / TEL 06-4704-3035
820,株式会社日創プラス(NIPLUX),https://www.nissoplus.co.jp/contact/general/,法人 092-985-9323 / メール info@nissoplus.co.jp
945,ニチエー株式会社(nichie),https://www.kk-nichie.co.jp/wp/personal-info/contact/,TEL 0120-550-601。自社EC nichie.shop
965,UNIFORM JAPAN,https://www.uniformjapan.com/?mode=inquiry,メール info@uniformjapan.com。自社EC uniformjapan.com
874,鹿児島県薩摩川内市(ふるさと納税),,楽天ふるさと納税店。窓口:薩摩川内市観光物産課 TEL 0996-23-5111
906,肌着屋(株式会社日新),,独立フォームURL確認できず(楽天メッセージ経由。運営会社の特定に留意)
177,アンドキッチン(株式会社ワイ・アダプト),,独立フォームURL確認できず。TEL 0120-477588。自社サイト andkitchen.tokyo
227,サイトウ商事(サイトウ商事株式会社),,独立フォームURL確認できず。TEL 048-640-5985。公式 saitocorp.com
195,エルムンド(株式会社エルムンド),,独立フォームURL確認できず。メール elmundofoods@shop.rakuten.co.jp / TEL 072-289-6154
198,オアシス電器(株式会社オアシスソフト),,独立フォームURL確認できず。メール rakuten@oasissoft.co.jp / TEL 048-871-9268
283,ハンガー&インテリアTAMATOSHI(株式会社玉俊工業所),https://www.tamatoshi.co.jp/wp/contact/,メール support-ys@tamatoshi500.jp / TEL 03-5687-0104
174,アルシオン(株式会社アルシオン),https://arsion.jp/mailform.php,
179,いちふじ日用品楽天市場店(株式会社一冨士),,独立フォームURL確認できず(楽天メッセージ経由)。TEL 054-271-6219。公式 ichifuji.org
890,霜山楽天市場店(株式会社霜山/SHIMOYAMA),,独立フォームURL確認できず。メール ignis@shimoyamacorp.co.jp / TEL 03-6550-9985
178,いきいき1000年商店(株式会社ジェー・シー・アイ),,独立フォームURL確認できず(楽天メッセージ経由)。TEL 022-745-1319
145,TRADE LINE,,独立フォームURL確認できず(楽天メッセージ経由)
265,テンカ楽天市場店(天華有限会社),https://www.tenkapas.co.jp/view/contact,TEL 0422-27-7842。自社EC tenkapas.co.jp
300,ヘルタスジェイ楽天市場店(株式会社ヘルタスジェイ),,独立フォームURL確認できず(楽天メッセージ経由)
304,ホリダシホンポ 楽天市場店(株式会社M&A),https://www.livlan.com/contact/,※運営会社サイトのフォーム(要確認)
345,快適収納堂(有限会社ケイアンドワイプランニング),,独立フォームURL確認できず。自社EC kaitekido.com
306,まごころ屋本店(株式会社ダイワ),,独立フォームURL確認できず。TEL 072-255-6634
895,通販ライフ(株式会社ワイドシステム),,独立フォームURL確認できず。メール wide02@shop.rakuten.co.jp / TEL 0570-666-068
899,得選館(ベスト・アンサー株式会社),,独立フォームURL確認できず。TEL 078-381-9689
904,買物上手(大和物産株式会社),,独立フォームURL確認できず。TEL 0747-20-3800
141,TK-JIANG(タカラ写真製版株式会社),,独立フォームURL確認できず(楽天メッセージ経由)
142,TOKA(合同会社TOKA),,独立フォームURL確認できず(楽天メッセージ経由。T&K TOKAとは別)
144,TOWA-zakka(トーワ産業株式会社),,独立フォームURL確認できず。メール kainan-zakka@shop.rakuten.co.jp / TEL 073-403-6169
146,Trade-ABC 楽天市場店(株式会社T-Trade),,独立フォームURL確認できず。メール trade-abc@shop.rakuten.co.jp / TEL 090-7332-6386
147,TRINITY COSME.(株式会社三国堂),,独立フォームURL確認できず。TEL 0567-69-5606
153,Umimile(meilulan),https://umimile.com/pages/contact,メール meilulan@shop.rakuten.co.jp。自社EC umimile.com(中国系事業者)
154,uuwa!ビーナスセレクト(株式会社理研日伸),,独立フォームURL確認できず(楽天メッセージ経由)
155,vision shop(Vision株式会社),,独立フォームURL確認できず。TEL 070-9294-4476
157,winwin-product,,独立フォームURL確認できず(楽天メッセージ経由。同名の別法人に注意)
162,yoimono Plaza(腕時計とバッグ),,独立フォームURL確認できず(楽天メッセージ経由)
163,YuLago(ユラゴ),,独立フォームURL確認できず(楽天メッセージ経由)
186,インテリアネット-C5(岩附株式会社),http://www.net-c5.jp/home_contact.html,メール casa-interior@net-c5.jp
205,カーミセンスオンライン楽天市場店(合同会社カーミセンス),https://calmisence.com/contact/,自社ECのお問い合わせ
241,スマイルライフショップ(株式会社テンポスター),,独立フォームURL確認できず(楽天メッセージ経由)。TEL 050-8893-9650
260,ディスカウント みやこ(株式会社みやこ),,独立フォームURL確認できず(楽天メッセージ経由)。広島県福山市
262,デザインアクセス(アカツキコーポレーション株式会社),,独立フォームURL確認できず。メール design@akatsuki.com / TEL 0289-72-1250
297,プロステアウトレット(株式会社折兼),,独立フォームURL確認できず。メール pro-ste@shop.rakuten.co.jp / TEL 0120-07-0410。自社 pro-station.com
299,ベラメルストア(株式会社興和),,独立フォームURL確認できず(楽天メッセージ経由)。TEL 045-410-7912
303,ボディーアンドソウル(株式会社セミナーブレイン),,独立フォームURL確認できず(楽天メッセージ経由)。TEL 03-6261-1375
313,モノリブ楽天市場店(tsukitohana1),,独立フォームURL・運営会社特定できず(楽天メッセージ経由)
319,ライフチップスショップ(株式会社福港商事/ライフティップス合同会社),,独立フォームURL確認できず(楽天メッセージ経由)
328,レースレディース(デンディング株式会社),,独立フォームURL確認できず。メール dengding@shop.rakuten.co.jp / TEL 0285-85-8273
836,鎌倉ライフ(株式会社ヤマウチ),,独立フォームURL確認できず(楽天メッセージ経由)。TEL 03-6272-8428
839,吉岡商事(吉岡商事株式会社),,独立フォームURL確認できず。メール yokyok@shop.rakuten.co.jp / TEL 03-3616-2777
840,京童工房(きょうわらべこうぼう)(株式会社京童),,独立フォームURL確認できず(楽天メッセージ経由)
842,厳選いいもの本舗(いいもの開発販売株式会社),,独立フォームURL確認できず。TEL 03-5811-1604。自社 iimono.co.jp
876,手作り工房MYmama(株式会社MY mama),https://mymama.co.jp/,公式サイトにお問い合わせあり(URL未確認)。自社EC mymama.co.jp
877,住マイル(株式会社H&Gキトウ),,独立フォームURL確認できず(楽天メッセージ経由)。TEL 052-502-1829
879,助太刀サブ(株式会社助太刀系。新潟県三条市),,独立フォームURL確認できず(楽天メッセージ経由)。TEL 050-1720-6744
880,助太刀サブ 2号店 楽天市場店,,独立フォームURL確認できず(助太刀サブと同一運営)
883,小物専科 しもやま 楽天市場店,,独立フォームURL確認できず(楽天メッセージ経由)
889,窓際貴族 mado(株式会社友安製作所),,独立フォームURL確認できず(楽天メッセージ経由)。友安製作所
892,大成商店(onarishops),,独立フォームURL・運営会社特定できず(楽天メッセージ経由)
905,柏楽天市場店(柏合同会社),,独立フォームURL確認できず(楽天メッセージ経由)。TEL 050-3114-4103
910,百華ショップ(momokashop),,独立フォームURL確認できず(楽天メッセージ経由)。TEL 070-9207-5258
916,万俵商店(万俵株式会社),,独立フォームURL確認できず(楽天メッセージ経由)。TEL 050-3138-2979
309,まるモール 楽天市場店(株式会社丸藤),,独立フォームURL確認できず。メール maru-mall_6@shop.rakuten.co.jp / TEL 078-806-7300
1033,新潟県 農林水産部 食品・流通課,,県ホームページのメールフォーム。メール ngt060040@pref.niigata.lg.jp / TEL 025-280-5304
1095,株式会社ベネッセコーポレーション,https://www.benesse.co.jp/contact/,お問い合わせ先一覧(取引・法人向け窓口あり)
1149,クイーンズランド州政府観光局,https://www.queensland.com/us/en/info/trade-media,旅行業・メディア専用ページ。日本事務所(東京都港区)
